gene_id	synonym
LOC110473577	TMEM126A
LOC110473741	LOC110473741
LOC110473742	LOC110473742
LOC110473743	LOC110473743
LOC110473744	CEP57_0
LOC110475073	LOC110475073
LOC110475074	LOC110475074
LOC110475075	LOC110475075
LOC110476715	LOC110476715
LOC110476729	LOC110476729
LOC110478386	TM4SF1_1
LOC110478387	SLC5A7
LOC110478393	LOC110478393
LOC110478409	CEP57_1
LOC110478412	FOLH1
LOC110478414	NAALAD2
LOC110480222	LOC110480222
LOC110480227	LOC110480227
LOC110480228	D10JHU81E
LOC110480237	LOC110480237
LOC116183560	LOC116183560
LOC116183594	LOC116183594
LOC116183595	LOC116183595
LOC116183600	LOC116183600
LOC116183601	LOC116183601
LOC116183605	LOC116183605
LOC116183610	LOC116183610
LOC116183623	LOC116183623
LOC116183637	LOC116183637
LOC116183648	LOC116183648
LOC116183649	LOC116183649
LOC116183654	LOC116183654
LOC116183655	LOC116183655
LOC116183656	LOC116183656
LOC116183657	LOC116183657
LOC116183701	LOC116183701
LOC116183705	LOC116183705
LOC116183708	LOC116183708
LOC116183716	LOC116183716
LOC116183737	LOC116183737
LOC116183738	LOC116183738
LOC116183739	LOC116183739
LOC116183745	LOC116183745
LOC116183756	LOC116183756
LOC116183796	LOC116183796
LOC116184187	LOC116184187
LOC116184197	LOC116184197
LOC116184198	LOC116184198
LOC116184309	LOC116184309
LOC116184311	LOC116184311
LOC116184314	LOC116184314
LOC116184318	LOC116184318
LOC116184329	LOC116184329
LOC116184330	LOC116184330
LOC116184331	LOC116184331
LOC116184332	LOC116184332
LOC116184333	LOC116184333
LOC116184338	LOC116184338
LOC116184339	LOC116184339
LOC116184340	LOC116184340
LOC116184341	LOC116184341
LOC116184342	LOC116184342
LOC116184344	LOC116184344
LOC116184346	LOC116184346
LOC116184350	LOC116184350
LOC116184352	LOC116184352
LOC116184353	LOC116184353
LOC116184357	LOC116184357
LOC116184481	LOC116184481
LOC110471625	LOC110471625
LOC110472320	SLC2A3
LOC110472322	LOC110472322
LOC110472324	A2ML1_3
LOC110472325	A2ML1_0
LOC110472349	NANOG_1
LOC110472350	NANOG_0
LOC110472351	APOBEC1
LOC110472354	A2ML1_5
LOC110472355	A2ML1_1
LOC110472356	A2M_1
LOC110475177	LOC110475177
LOC110475178	LOC110475178
LOC110476341	LOC110476341
LOC110476345	LOC110476345
LOC110476352	LOC110476352
LOC110476452	LOC110476452
LOC110476518	CD80
LOC110476560	LOC110476560
LOC110476583	LOC110476583
LOC110476587	LOC110476587
LOC110476590	LOC110476590
LOC110476594	LOC110476594
LOC110476601	LOC110476601
LOC110476607	LOC110476607
LOC110476613	LOC110476613
LOC110476647	LOC110476647
LOC110480162	LOC110480162
LOC110480163	LOC110480163
LOC110480542	LOC110480542
LOC110480694	LOC110480694
LOC110480699	COX17
LOC110480705	B3GAT1_0
LOC110480708	LOC110480708
LOC110480718	TRY1
LOC110480729	APOV1
LOC110480732	LOC110480732
LOC110480734	LOC110480734
LOC110480735	LOC110480735
LOC110480736	LOC110480736
LOC110480737	LOC110480737
LOC110480739	LOC110480739
LOC110480744	HSD3B
LOC110480752	LOC110480752
LOC110480789	LOC110480789
LOC110480790	LOC110480790
LOC110480792	PLA2G10_0
LOC110480808	LOC110480808
LOC110480813	LOC110480813
LOC110480814	LOC110480814
LOC110480815	LOC110480815
LOC110480817	EDSP_1
LOC110480818	LOC110480818
LOC110480821	CD163
LOC110480822	TAS2R40
LOC110480824	TRPV5
LOC110480825	TRY2
LOC110480829	CLEC4E
LOC110480833	TNFRSF1A
LOC110480859	SLC25A33_0
LOC110480861	LOC110480861
LOC110480865	RAP1GAP_1
LOC110480871	FAAH_1
LOC110480886	B4GALT3_0
LOC110481487	COA4
LOC110481494	CLDN8
LOC110481501	LOC110481501
LOC110481504	LOC110481504
LOC110481508	LOC110481508
LOC116183248	LOC116183248
LOC116183261	LOC116183261
LOC116183269	LOC116183269
LOC116183277	LOC116183277
LOC116183280	LOC116183280
LOC116183385	LOC116183385
LOC116183391	LOC116183391
LOC116183899	LOC116183899
LOC116183910	LOC116183910
LOC116183947	LOC116183947
LOC116183958	LOC116183958
LOC116184009	LOC116184009
LOC116184010	LOC116184010
LOC116184011	LOC116184011
LOC116184018	LOC116184018
LOC116184031	LOC116184031
LOC116184033	LOC116184033
LOC116184036	LOC116184036
LOC116184076	LOC116184076
LOC116184079	LOC116184079
LOC116184080	LOC116184080
LOC116184082	LOC116184082
LOC116184086	LOC116184086
LOC116184211	LOC116184211
LOC116184216	LOC116184216
LOC116184334	LOC116184334
LOC116184354	LOC116184354
LOC116184359	LOC116184359
LOC116184361	LOC116184361
LOC116184362	LOC116184362
LOC116184828	LOC116184828
LOC110467782	LOC110467782
LOC110469766	GNAI1
LOC110469775	LOC110469775
LOC110470905	LOC110470905
LOC110470911	LOC110470911
LOC110470912	LOC110470912
LOC110470923	LOC110470923
LOC110470947	LOC110470947
LOC110470948	TUBA1C
LOC110470949	LOC110470949
LOC110470950	LOC110470950
LOC110470951	COL7A1
LOC110470952	LOC110470952
LOC110470953	LOC110470953
LOC110470954	LOC110470954
LOC110470957	LOC110470957
LOC110470958	LOC110470958
LOC110470960	LOC110470960
LOC110470962	LOC110470962
LOC110470963	LOC110470963
LOC110470965	LOC110470965
LOC110470966	TMEM110_1
LOC110470970	LOC110470970
LOC110471624	LOC110471624
LOC110471630	LOC110471630
LOC110471657	LOC110471657
LOC110471658	GH_0
LOC110472836	LOC110472836
LOC110472837	LOC110472837
LOC110472840	LOC110472840
LOC110473097	LOC110473097
LOC110473113	FOLR1_0
LOC110473115	LRTOMT
LOC110473116	LOC110473116
LOC110473120	LOC110473120
LOC110475443	LOC110475443
LOC110476443	FAM172BP
LOC110476445	LOC110476445
LOC110477022	TRAT1
LOC110477026	LOC110477026
LOC110477394	LOC110477394
LOC110478699	LOC110478699
LOC110478705	TMEM30C
LOC110478872	VNX1
LOC110478874	CPA2
LOC110478876	CPA1_1
LOC110478877	CPA1_0
LOC110478878	LOC110478878
LOC110479095	LOC110479095
LOC110479251	SCO2
LOC110479258	ACR_6
LOC110479262	LOC110479262
LOC110479263	CHKA
LOC110479573	CTTN
LOC110479574	RABL2A
LOC110479577	LOC110479577
LOC110479580	LOC110479580
LOC110479583	GUCA1A_0
LOC110479585	LOC110479585
LOC110479591	LOC110479591
LOC110480926	LOC110480926
LOC110482502	LOC110482502
LOC110482664	LOC110482664
LOC110483024	MAPK8IP1_1
LOC110483488	ARSA
LOC110483785	GDI2_0
LOC116183144	LOC116183144
LOC116183145	LOC116183145
LOC116183146	LOC116183146
